2014-10-1,54
2014-10-2,47
2014-10-3,46
2014-10-6,53
2014-10-7,46
2014-10-8,46
2014-10-9,46
2014-10-10,102
2014-10-14,47
2014-10-15,52
2014-10-16,45
2014-10-17,46
2014-10-20,43
2014-10-21,51
2014-10-22,51
2014-10-23,51
2014-10-24,103
2014-10-27,42
2014-10-28,45
2014-10-29,45
2014-10-30,43
2014-10-31,43
2014-11-4,42
2014-11-5,43
2014-11-6,43
2014-11-7,99
2014-11-10,43
2014-11-11,43
2014-11-12,42
2014-11-13,43
2014-11-14,42
2014-11-17,40
2014-11-18,42
2014-11-19,42
2014-11-20,41
2014-11-21,99
2014-11-25,47
2014-11-26,47
2014-11-27,41
2014-11-28,40
